,id,title,overview,release_date,popularity,vote_average,vote_count
0,1393326,Ghost in the Cell,"A notorious prison, an invisible force begins killing inmates brutally, compelling enemy gangs and corrupt guards to work together as they try to survive the mounting bloodshed.",2026-04-16,7.2093,8.2,10
1,180299,The Raid 2,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",2014-03-27,5.4031,7.607,2578
2,94329,The Raid,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it.  But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.",2012-03-22,5.293,7.398,3847
3,1355140,Janur Ireng,"Sabdo and Intan lived happily despite their material poverty, but tragedy struck when their parents’ house was completely burned down. In their confusion over where to live, they were approached by Arjo Kuncoro, a man who claimed to be their uncle— a wealthy merchant who had everything. They were taken to the Kuncoro family home, but it turned out that Arjo had a sinister plan to exploit them both.",2025-12-24,4.5515,6.333,6
4,1306525,The Elixir,An elixir unleashes the undead in a village. A family at odds with one another must unite and fight to survive as their hometown collapses.,2025-10-22,4.4604,5.887,194
5,1164355,Lembayung,"Arum and Pica, who wanted to complete their internship at Lembayung hospital, had to face mysterious terror from a woman satan who was suspected of hanged herself in the bathroom. The situation became even more tense after they asked others for help to the point where they threatened their own lives and those closest to them.",2024-09-19,4.2068,7.2,10
6,449992,The Night Comes for Us,"After sparing a girl's life during a massacre, an elite Triad assassin is targeted by an onslaught of murderous gangsters.",2018-10-05,4.1643,6.9,794
7,1403612,Timur,Follows the real-life international hostage crisis that took place in Mapenduma in 1996. The subsequent rescue operation was overseen by now-Indonesian President Prabowo Subianto.,2025-12-18,4.366,5.6,5
8,1287571,Agak Laen: Menyala Pantiku!,"After repeatedly failing their missions, Detectives Bene, Boris, Jegel, and Oki are given one last chance: to go undercover in a nursing home in search of a fugitive wanted for the murder of the mayor’s child.",2025-11-27,4.1755,8.7,9
9,1378756,On Your Lap,"Sartika, a pregnant young woman, moves away from her city hoping to provide a better future for her child. She meets Maya, a coffee shop owner in Pantura. Maya takes care of Sartika and helps with her deliveries. After Sartika gives birth, Maya manipulates her into working for her as the ""Kopi Pangku"" waitress, a job that requires her to serve coffee on a man's lap, until one day she meets a fish distributor truck driver named Hadi and falls in love. Will she find happiness?",2025-11-06,3.8728,8.0,7
10,1151949,The Shadow Strays,"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.",2024-09-10,4.0724,7.213,313
11,1066313,The Draft!,5 student. An old villa. Old well. Forbidden room. Dark secret of the past. A seemingly omnipotent evil. Survival is the key. Let the battle of wits begins...,2023-11-27,3.7031,5.3,11
12,1602705,A Letter to My Youth,A rebellious teen and a reserved caretaker form an unlikely bond in an orphanage as they come to terms with their painful pasts.,2026-01-29,3.4048,7.643,21
13,1355126,Sugar Mill,"A group of young men and women who work as seasonal workers in a sugar factory face terror from the kingdom of demons where the factory is located. They must find out the cause of the demons' anger, before the terror ends their lives.",2025-03-31,4.2218,7.8,25
14,467012,Satan's Slaves,"After dying from a strange illness that she suffered for three years, a mother returns home to pick up her children.",2017-09-28,3.1621,6.669,299
15,1476928,Na Willa,"Willa, a six-year-old girl, believes that her little world in an alley in Surabaya is the most perfect and magical place. However, when her best friend has an accident and, one by one, her playmates begin going to school, Willa's world slowly changes and starts to feel lonelier.",2026-03-18,2.2881,8.7,5
16,1440100,Sosok Ketiga: Lintrik,"After six months of marriage, Andin begins to notice many oddities in her marriage. From the beginning, Uncle Bagyo suspected the marriage was rushed, and together with Amara—Andin's younger sister who also inherited the mystical arts—he often noticed disturbing, odd signs.  Their suspicions were proven correct when it was revealed that Ario, Andin's husband, had been having a special relationship with Naura, a wealthy woman in their town who was trying to steal Ario completely from Andin using the Lintrik love spell, a dangerous mystical power that dragged Andin and her family into endless supernatural terror. What will happen to Andin and Ario's marriage going forward?",2025-11-06,2.2023,5.4,5
17,1339772,The Devil's Bride,"Caught in a strained marriage, Echa finds solace in a man who visits her dreams. But comfort turns to terror when he emerges as a malicious spirit.",2025-01-16,2.7286,6.0,11
18,1134754,172 Days,A young woman with a troubled past turns to religion as she seeks purpose in life — and a chance at finding true love.,2023-11-23,2.7386,5.909,33
19,1223799,The Corpse Washer,"Lela, a mortician, finds something odd about the body of her mother who died suddenly. Trapped in sacred tension and a tense horror journey, Lela discovers another oddity in the body of the corpse she was bathing.",2024-02-22,1.9782,6.6,19
20,1367947,Gowok: Javanese Kamasutra,"Set in 1960s Java, a young Javanese woman betrays her teacher, falls in love and must face dire consequences.",2025-06-05,2.0586,8.7,8
21,572468,Impetigore,"A woman inherits a house in her ancestral village, but she's unaware that members of the community have been trying to locate and kill her to remove the curse that has plagued them for years.",2019-10-17,1.9763,6.709,237
22,1317938,Norma: Antara Mertua dan Menantu,"When a young woman learns of an affair between her mother and her husband, she faces a difficult decision: forgive or seek justice.",2025-03-31,2.2374,7.1,7
23,1059372,Dear David,"A secret fantasy blog might jeopardize the promising future of Laras, a talented student, when the blog is revealed to her entire school.",2023-02-09,2.6539,6.188,40
24,1247038,Levitating,"In a town where pleasure equals being possessed by spiritual beings, Bayu aspires to be the shaman of a trance party so he can fundraise enough money to prevent an impending eviction.",2026-04-23,2.1128,7.7,6
25,1260594,Sumala,An evil spirit seeking vengeance returns to plague the town that wronged her sister. Based on a chilling urban legend.,2024-09-26,2.0715,7.3,29
26,524738,May the Devil Take You,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.",2018-08-09,2.1483,6.182,181
